MetroShort,2010 Population,2019 Population,total_deaths,area,land_area,estab_count,density,density2019,deaths_capita,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level
"Abilene, TX",175821,181482,67939.855076217,4120.11506023166,4100.407825868726,6262,42.87890557880056,44.25949995877559,0.37436139714251004,10180,"Abilene, TX",Abilene,TX,0.27246296,0.30905688,0.32867125,0.3575404,TX,136652.83333333334
"Akron, OH",900018,903486,248987.908764982,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,0.2755857963100502,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,150669.33333333334
"Albany, GA",189181,183695,131718.336949433,3117.818735907336,3079.036891891892,5273,61.44161523305396,59.65988926073891,0.7170491137452462,10500,"Albany, GA",Albany,GA,0.27158603,0.31853243999999997,0.31485352,0.36687845,GA,110954.5
"Albany, NY",932389,941115,163670.823014931,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,0.1739116080552653,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,204290.91666666666
"Albany, OR",168645,183015,15213.297805956,2363.3616451737453,2345.6535996138996,6446,71.8968052349074,78.02302950023171,0.08312596129254979,10540,"Albany, OR",Albany,OR,0.22239512,0.24164519,0.27380314,0.29124367,OR,277118.25
"Albuquerque, NM",902666,928672,185788.159875407,11753.961532818532,11738.836901930503,33175,76.89569312029138,79.11107444105266,0.2000578889806164,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,207673.33333333334
"Alexandria, LA",183492,182074,89563.077345838,3301.73151003861,3210.5124343629345,5789,57.1534930175128,56.71181897668904,0.49190481532694397,10780,"Alexandria, LA",Alexandria,LA,0.25201264,0.28886458,0.30110911,0.33358815000000003,LA,129811.25
"Allentown, PA",1003571,1016995,486907.251175984,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,0.47877054575094663,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,210652.16666666666
"Altoona, PA",143137,138425,45767.016696299,727.0263648648648,725.4472216216217,5155,197.3086335351041,190.81332986646908,0.33062681377134906,11020,"Altoona, PA",Altoona,PA,0.22866811,0.27055547,0.28467274,0.32292062,PA,114577.83333333333
"Amarillo, TX",259360,271383,111466.525061011,4416.158123938224,4382.724571428572,10200,59.177800423689476,61.921071145828655,0.41073510522402285,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX,144505.58333333334
