zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,price_level,total_deaths,estab_count,deaths_capita,density2019,lon,lat,cbd_lon,cbd_lat,dist_to_cbd
1431,12.60156029582854,7.733342545574488,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.39931623862878,0.35576886691369136,289681.4166666667,1516.175451492,60,0.4708619414571429,135.85009543535176,-71.8137,42.672005,-71.057761,42.359184,71133.19376584263
1432,11.660987837318219,6.293272780972595,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4346564137269364,0.38725992850475754,383186.8333333333,5828.520192960001,331,0.7570489924613587,911.0176131628283,-71.59136,42.549821,-71.057761,42.359184,48693.651568077075
1450,9.91567441634,4.469172878786409,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.4758093274632809,0.431221428422514,512652.6666666667,6571.00655016,336,0.5808367851286131,345.3079747312467,-71.55722,42.609887,-71.057761,42.359184,49598.85670203952
1460,10.550054523966757,5.096728313584821,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4916108894799584,0.44637162774205585,492928.0833333333,6094.5226102199995,495,0.6051556558653559,609.5553319035067,-71.49085,42.540052,-71.057761,42.359184,40876.204504948655
1463,11.456527277269231,6.729530929002853,017,25,11497,23.196796138996138,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.4347226994031603,0.3854416432633395,373320.1666666667,7684.0631376,354,0.634784232763321,535.6248953695792,-71.5929,42.665686,-71.057761,42.359184,55609.20221966406
1464,10.11158793766231,4.5594775883815055,017,25,7211,15.092241312741313,15.013463706563707,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.43281720776757904,0.3878484978511996,356943.1666666667,3325.02411312,148,0.4356117009196908,508.4103275024366,-71.64555,42.559289,-71.057761,42.359184,53164.74526510128
1469,9.585813291050638,6.301761572054768,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.42090367459620176,0.37332305011627853,314228.9166666667,3521.991978,184,0.45919060990873534,335.2144432196651,-71.69204,42.658738,-71.057761,42.359184,61815.29083496907
1474,8.637299924725598,5.506246263373686,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.4203537509120277,0.3728705447046041,319976.0833333333,1050.8981328,15,0.5828608612312812,181.76888913108633,-71.74578,42.669408,-71.057761,42.359184,66179.52404670283
1701,10.678883038680441,4.747804681674914,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.4712507048132498,0.4293097383555471,474021.3333333333,18417.269028000002,2258,0.5651202524700829,1921.722109403978,-71.42344,42.318695,-71.057761,42.359184,30425.360958334095
1702,10.123738787912536,5.490967416921172,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43955310236118944,0.3945047691211,443886.5833333333,20892.2540712,1691,0.5249441963667429,4918.495557773376,-71.42161,42.283995,-71.057761,42.359184,31095.010711944684
1719,8.531749180249827,3.3243836216862546,017,25,4996,10.407865250965251,10.285744401544402,485.7208000667265,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5561,20,0.5158412026927645,0.4685810300823013,660606.75,3081.4168068,168,0.5541119954684409,540.6511947900452,-71.51244,42.486259,-71.057761,42.359184,39951.267933130104
1720,10.065415992523887,4.3466648912203,017,25,21361,20.143181853281853,19.713133204633206,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5216185044000544,0.4791139742458072,639966.5,13107.0197856,1306,0.5750963005396867,1156.132805648744,-71.4422,42.477142,-71.057761,42.359184,34213.55451991001
1721,9.854827863556652,4.606366388836976,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.47074804614370663,0.425477060351241,501180.4166666667,10257.5641584,693,0.5791961693054771,1436.3932918480143,-71.45886,42.257956,-71.057761,42.359184,34889.95150624589
