zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
1431,-1.8944099378881987,-18.333333333333332,-3.5931677018633543,-3.5931677018633543,-1.4906832298136645,-3.322981366459627,0,-5.571428571428571,-5.571428571428571,-1.8944099378881987,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.39406034713035204,0.3594602289293546,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,72879.88605015136,60,0.27825364295,0.3313241935166667
1432,0.4546044940901416,0,0.58708923236784,0.58708923236784,0.32471749577867254,-1.052084686322899,0,-1.870372775685154,-1.870372775685154,-0.24678529679179115,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,911.0176131628283,42.566573,-71.575135,-71.058701,42.3549,48518.051269558055,331,0.30841644483383684,0.36651308874320243
1434,4.824784154393093,0,1.8080243778567804,1.8080243778567804,4.4692737430167595,0.6602336211274759,0,0,0,0.6602336211274759,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.46066501941397253,0.4186430800061122,372.83465787331204,42.539088,-71.611613,-71.058701,42.3549,49831.353528640335,57,0.549415764122807,0.6282521327192984
1450,2.2010076902678333,0,2.9346769203571115,2.9346769203571115,1.988862370723946,2.0065411473526034,0.2976190476190476,3.11942013612658,3.11942013612658,1.8916290992663307,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,50468.17806923549,336,0.35969639990476193,0.410325911797619
1460,1.886605103763281,-7.474747474747474,2.7226690497467976,2.7226690497467976,2.323503127792672,1.539072584648992,8.282828282828284,1.9173865554562606,1.9173865554562606,2.5717406414457353,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.44746009973953077,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,40799.98185287272,495,0.38724936223636364,0.45439645668484846
1463,2.5526641883519208,0,2.6460140437835604,2.6460140437835604,2.437009500206526,-1.3713341594382487,0,-1.976869062370921,-1.976869062370921,-0.983064849235853,017,25,11497,23.196796138996138,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,56825.632012674876,354,0.3330751444237288,0.386413613740113
1464,1.2314948251015327,0,0.23974846063146868,0.23974846063146868,1.2445958338792087,-0.7074544739944976,0,-0.2397484606314686,-0.2397484606314686,-0.3668282457749247,017,25,7211,15.092241312741313,15.013463706563707,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,53660.800810594636,148,0.38882548228378383,0.4575683429324325
1469,-2.1512385919165578,-14.130434782608695,-3.598435462842243,-3.598435462842243,-2.646675358539765,-1.4732724902216427,0,-1.329856584093872,-1.329856584093872,-0.7953063885267276,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,62620.31833070175,184,0.27828975580434784,0.32824684322826087
1474,0.8874098724348309,0,-3.3832501386577922,-3.3832501386577922,0.055463117027176934,-3.2168607875762616,0,-1.6638935108153077,-1.6638935108153077,0.776483638380477,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,66868.39204064957,15,0.22533925333333335,0.26648762933333336
1701,-0.10432648051549555,4.340124003542958,-1.0607548327707885,-1.0607548327707885,-0.6351641607855171,-0.09205277692543726,1.5943312666076175,-0.40994169990794715,-0.40994169990794715,0.39889536667689474,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,31646.352617575754,2258,0.43712307677369355,0.4975082418312666
1702,-6.0127138872836,-14.19278533412182,-7.129576120003016,-7.129576120003016,-5.625769491695771,-6.495138068795699,-15.138971023063277,-7.801954822985502,-7.801954822985502,-6.145883062388502,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,32142.960393694404,1691,0.33893092360733296,0.39161114040922534
