zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd
1431,-1.4596273291925466,-10,-1.670807453416149,-1.670807453416149,-0.9006211180124223,-1.0869565217391304,0,-1.186335403726708,-1.186335403726708,-0.9316770186335404,26.756258512103177,4.084179698233758,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.39406034713035204,0.3594602289293546,60,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,72879.88605015136
1432,0.8312767891934016,0,0.9546694375892972,0.9546694375892972,0.7273671905442265,-0.8832315885179893,0,-1.4261592414599298,-1.4261592414599298,-0.662423691388492,23.85159895830299,4.138314723115336,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,331,911.0176131628283,42.566573,-71.575135,-71.058701,42.3549,48518.051269558055
1434,4.164550533265618,0,1.8283392585068563,1.8283392585068563,3.7582529202640935,-0.050787201625190445,0,0,0,0,24.12291362019022,1.7683136568347024,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.46066501941397253,0.4186430800061122,57,372.83465787331204,42.539088,-71.611613,-71.058701,42.3549,49831.353528640335
1450,1.3259082471492973,0,1.667108636082383,1.667108636082383,1.2640325289489969,0.6983116768319632,2.083333333333333,0.9025015468929549,0.9025015468929549,0.7425086184036065,23.906581777318657,5.258773684383795,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,336,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,50468.17806923549
1460,1.7873100983020553,-3.8383838383838382,2.358256379704101,2.358256379704101,2.025618111408996,0.9035845496971503,5.252525252525253,0.8410286962565782,0.8410286962565782,1.3206235726342965,25.89857797093159,1.2239023780632832,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.44746009973953077,495,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,40799.98185287272
1463,2.2304832713754648,0,2.409748038000826,2.409748038000826,2.1726559273027672,-0.19000413052457663,0,-0.4337050805452292,-0.4337050805452292,-0.20652622883106153,21.829673484370733,4.424489663681549,017,25,11497,23.196796138996138,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,354,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,56825.632012674876
1464,0.8253635529935806,0,0.2279575527315603,0.2279575527315603,0.8908685968819599,-0.2751211843311935,0,-0.19127472815406785,-0.19127472815406785,0,23.34107409127576,3.644038424147813,017,25,7211,15.092241312741313,15.013463706563707,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,148,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,53660.800810594636
1469,0.0651890482398957,0,-0.076923076923077,-0.076923076923077,-0.28683181225554105,-0.3650586701434159,0,-0.3846153846153845,-0.3846153846153845,-0.14341590612777053,25.86942675593586,6.7002222830231135,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,184,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,62620.31833070175
1474,0.44370493621741547,0,-1.497504159733777,-1.497504159733777,0.5546311702717693,-1.6638935108153077,0,-1.552967276760954,-1.552967276760954,-1.2756516916250693,26.479433195661663,5.5139742388498,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,15,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,66868.39204064957
1701,-0.16569499846578706,4.871567759078831,-1.0466400736422214,-1.0466400736422214,-0.6198220312979442,-0.17796870205584533,-1.5943312666076175,-0.31083154341822644,-0.31083154341822644,-0.11966861000306843,23.84015554222599,3.3306493094968865,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,31646.352617575754
