MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState
"Barnstable Town, MA",14.318310782190323,1.8663451826268287,217878,216021,492.18945405405407,399.1644420849421,13369,545.8351922880837,541.1829742941652,70900,"Barnstable Town, MA",Barnstable Town,MA,0.24421783,0.29427299,0.31125712,0.35548064,MA
"Baton Rouge, LA",4.097638772878567,0.42961226460397695,865501,900787,4430.112434749035,4307.941427413128,32433,200.90825620155286,209.09917536666993,12940,"Baton Rouge, LA",Baton Rouge,LA,0.25683343,0.32415456,0.30453247,0.35679933,LA
"Battle Creek, MI",11.704834605597965,6.520360268933147,187632,185955,1311.3389455598456,1292.431537065637,4703,145.17751588297168,143.87996165908797,12980,"Battle Creek, MI",Battle Creek,MI,0.26593491,0.33650032,0.29806584,0.35238397,MI
"Bay City, MI",9.647697296316732,7.01849568434032,177511,173152,950.533540926641,909.9490227799228,5770,195.07796102434216,190.28758278240161,13020,"Bay City, MI",Bay City,MI,0.20659722,0.24416237,0.26032704,0.29734078,MI
"Beaumont, TX",6.513459595305335,2.0625251244627227,400638,405337,2266.3438073359075,2157.631761776062,12615,185.68414087036496,187.8619916432568,13140,"Beaumont-Port Arthur, TX",Beaumont-Port Arthur,TX,0.25647792,0.30148351,0.30156973,0.33036759,TX
"Beckley, WV",4.188024866397645,1.6422287390029326,88904,85044,775.1792833976834,768.192062934363,2603,115.73147431438154,110.70668925573949,13220,"Beckley, WV",Beckley,WV,0.18212405,0.23265944,0.2378965,0.29383785,WV
"Bellingham, WA",12.291203308655147,5.510918757925843,230247,252488,2684.3789494208495,2598.5632795366796,12969,88.60550051375033,97.16446083430313,13380,"Bellingham, WA",Bellingham,WA,0.28736007,0.34359622,0.33680251,0.37612796,WA
"Bend, OR",14.973127999474064,5.188363830225927,156757,184175,1434.938323166023,1410.091203088803,12110,111.16798662144973,130.61211898674702,13460,"Bend-Redmond, OR",Bend-Redmond,OR,0.2822699,0.33889672,0.33221695,0.3842653,OR
"Billings, MT",9.43278204518728,2.04222002845996,163974,175779,5276.942522007722,5245.556185714286,10764,31.259602260398193,33.51007858398608,13740,"Billings, MT",Billings,MT,0.27161101,0.31679907,0.33685398,0.37885228,MT
"Binghamton, NY",8.0488460205524,2.285718975571122,273395,263319,1669.2477953667953,1651.9662718146717,7848,165.49672028090367,159.3973221443233,13780,"Binghamton, NY",Binghamton,NY,0.30214229,0.36203703,0.34981284,0.39644367,NY
