zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,price_level,total_deaths,estab_count,deaths_capita,density2019,lon,lat,cbd_lon,cbd_lat,dist_to_cbd,pp_growth
1752,0.7503607503607503,1.8713450292397662,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44580766869383986,0.3961132621200474,406143.0833333333,24794.480320596,2785,0.6239802778487015,1904.399747889119,-71.54753,42.350909,-71.057761,42.359184,40300.5074469451,-1.1209842788790159
1760,-4.1774231401079565,5.043601225547961,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.48905333326262596,0.4478541571933037,654342.8333333334,20617.7514606,2480,0.576542922753838,2414.56375670613,-71.35368,42.290763,-71.057761,42.359184,25518.116534943965,-9.221024365655918
1801,-7.385952208544532,2.402826855123675,017,25,38903,12.963816602316601,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.44030035637336545,0.3950957696911199,528100.3333333334,23486.4471096,4071,0.5819382816620828,3189.856658512117,-71.15206,42.484545,-71.057761,42.359184,15962.264131351443,-9.788779063668208
1852,5.194805194805195,3.45252774352651,017,25,33508,5.195406563706563,4.953185328185328,6764.939686251583,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35532,909,0.39410574688448313,0.3440668989376039,351810.25,20057.706547200003,1375,0.5644969758865249,7173.565624086525,-71.29849,42.634112,-71.057761,42.359184,36428.71984906381,1.7422774512786847
1902,5.013591060102688,3.210576015108593,009,25,45139,2.4940258687258687,2.403045945945946,18784.076965382897,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",49641,1298,0.3522269221298554,0.30498812663099106,371001.75,28198.0380516,805,0.5680392830845471,20657.53261345117,-70.94113,42.469946,-71.057761,42.359184,15617.529737008255,1.803015044994095
1960,2.3606917375789185,5.890763511581356,009,25,50944,16.561284942084942,15.997102316602316,3184.5767434473837,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",52628,168,0.3967529329936401,0.3509614072787802,488048.0833333333,37486.268078168,2735,0.7122875290371666,3289.8458082237144,-70.96146,42.534045,-71.057761,42.359184,21011.399739388493,-3.530071774002437
1970,4.317269076305221,7.893333333333333,009,25,41109,13.591002316602317,8.108971042471042,5069.570452858946,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",43033,158,0.4090941227425992,0.36798425284270897,449160.3333333333,32163.1352584,2170,0.74740629884972,5306.838534089348,-70.8985,42.516845000000004,-71.057761,42.359184,21891.094470278822,-3.5760642570281114
2108,-20.48898767427763,13.375048885412594,025,25,3825,0.1370023166023166,0.1370023166023166,27919.23592871073,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4454,479,0.5307279958214993,0.4864549781917653,4846817,3044.20036606,2137,0.6834756098024247,32510.39917032094,-71.06408,42.357903,-71.057761,42.359184,538.9988193018808,-33.86403655969023
2109,-17.045454545454543,5.4799125903513195,025,25,3771,0.2866196911196911,0.173611583011583,21720.900959404342,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4190,885,0.5558659738113921,0.5055290698304645,1229745.1666666667,3275.97503896,2722,0.7818556178902147,24134.33439933816,-71.05417,42.361477,-71.057761,42.359184,390.39265640980335,-22.525367135805862
2111,-16.54225141833383,4.598674001974891,025,25,7383,0.28065637065637067,0.25867451737451735,28541.659514573108,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7926,675,0.49794715198755457,0.4544245462130945,973425.6666666666,6641.2838782,1940,0.8379111630330558,30640.82260768068,-71.06101,42.349838,-71.057761,42.359184,1074.1749499414764,-21.140925420308722
2113,-15.692821368948248,1.3245033112582782,025,25,6915,0.1007061776061776,0.1007061776061776,68665.10242342684,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",6966,405,0.540738579781234,0.4904436192547708,1072842.9166666667,6581.7311548,307,0.9448365137525122,69171.5261723198,-71.05636,42.365028,-71.057761,42.359184,660.6788434558744,-17.017324680206528
2114,-19.412915851272018,5.573890722405574,025,25,11999,0.5666810810810811,0.4495015444015444,26694.01284477272,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",13335,669,0.5451294108181476,0.4999437446879166,2285201.5833333335,15596.4951896,1288,1.169590940352456,29666.193956583396,-71.06774,42.361792,-71.057761,42.359184,870.6642153373248,-24.98680657367759
2115,-9.576300378918361,3.8532417490366893,025,25,28441,0.748207722007722,0.7082030888030888,40159.3842919652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",28652,994,0.4798534312364419,0.4416485133984917,1342118.75,15268.8844832,1129,0.5329081559123272,40457.32142798731,-71.09268,42.34308,-71.057761,42.359184,3386.196375190841,-13.42954212795505
2116,-9.65673330818559,1.5593834995466909,025,25,20628,0.7329382239382239,0.6303586872586873,32724.225773277332,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",23157,979,0.5294798180456796,0.4853475698052673,2434880.8333333335,17121.855919600002,3990,0.7393814362654921,36736.22727514947,-71.07372,42.349622,-71.057761,42.359184,1690.1514493086772,-11.21611680773228
