zip,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
01001,786,0.3052383997340967,0.36734424700890583
01002,940,0.42455636987659573,0.47090183683829784
01003,11,0.5437387927272728,0.6540280454545454
01004,3,0.30971128,0.4379119
01005,93,0.2983639062580645,0.34727694705376344
01007,333,0.34426645238138137,0.3941671608978979
01008,13,0.11257935961538462,0.1385564296153846
01009,4,0.30971128,0.4379119
01010,113,0.3729171651858407,0.4372508444070797
01012,9,0.2939062,0.33433784
01013,534,0.31457755936891385,0.3762431963127341
01020,921,0.26398509979587403,0.3157325381834962
01022,44,0.39599904954545456,0.4550856686363636
01026,12,0.47060519500000003,0.5864917500000001
01027,704,0.3263810315710227,0.3822763800113636
01028,888,0.39116569169256754,0.44515846858558555
01029,3,0.017568879,0.038011037
01030,339,0.31429727010914454,0.37465276870501474
01031,16,0.23799568706250002,0.2460678880625
01032,13,0.4630696853846154,0.5069763676923077
01033,157,0.29640607154140125,0.3593663742420382
01034,19,0.4375338278947369,0.4801711863157894
01035,478,0.30806031246861926,0.35600177876569034
01036,172,0.29614290345930233,0.36276678305232557
01037,5,0.17196091,0.2013973
01038,54,0.23124041138888887,0.292937020462963
01039,29,0.21535694724137933,0.27575718862068965
01040,1535,0.3028650254781759,0.35010539424104237
01041,18,0.26691548283333333,0.32899953283333333
01050,23,0.15566972334782608,0.18186175743478258
01053,3,0.39221948,0.42269984
01054,47,0.48079635787234043,0.5570724489361703
01056,682,0.30700480828152493,0.36003816790469206
01057,182,0.28977943443406595,0.35732554330219785
01059,3,0.10863364999999998,0.14925313
01060,1315,0.3688742906920152,0.41565522841064634
01061,14,0.71709785,0.79927844
01062,278,0.3658349493489209,0.4062222930647482
01066,3,0.57388711,0.65412086
01068,37,0.3177970610810811,0.3766935556756757
01069,378,0.33149852850529105,0.3853653587830688
01071,20,0.33893783,0.39700340600000006
01072,13,0.6571422023076923,0.7106957461538462
01073,155,0.2706721611677419,0.31732767337419354
01075,509,0.3665813392259332,0.4171399212259332
01077,309,0.24400864024271843,0.2971257335987055
01080,29,0.4189079886551724,0.47612861700000003
