COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01015,36204,0.010721300,0.013684700,0.000710227,0.010803600
01015,36205,0.014673600,0.013102300,0.047585200,0.015140800
01015,36277,0.039331100,0.007133500,0.017045500,0.036011900
01015,36265,0.160804613,0.081088950,0.205965909,0.154443656
01015,36253,0.000000000,0.000291163,0.000000000,0.000026286
01015,36202,0.028742500,0.077158247,0.001420450,0.032607800
01015,35905,0.004955090,0.002911630,0.001420450,0.004705200
01015,36201,0.169358050,0.287086912,0.133522727,0.179323397
01015,36203,0.127785397,0.210947736,0.204545455,0.136713719
01015,36272,0.072999159,0.064347067,0.053977300,0.071866046
01015,36254,0.000000000,0.000145582,0.000000000,0.000013143
01017,36863,0.359341158,0.375945017,0.411924119,0.361350740
01017,36850,0.009268100,0.005498280,0.005420050,0.008949600
01017,36274,0.017478500,0.015120300,0.008130100,0.017161000
01017,36801,0.007706640,0.001374570,0.002710030,0.007196570
01017,36855,0.049715400,0.020618600,0.032520300,0.047469700
01017,36276,0.010074000,0.004811000,0.000000000,0.009549300
01017,36852,0.016068100,0.015120300,0.008130100,0.015869400
01017,36862,0.177101697,0.191065292,0.295392954,0.180052590
01017,36854,0.334760490,0.363573883,0.227642276,0.334871061
01017,36879,0.018485900,0.006872850,0.008130100,0.017530100
01019,36272,0.101245587,0.036756800,0.031914900,0.096738187
01019,35961,0.019383200,0.010810800,0.000000000,0.018665500
01019,35983,0.144741224,0.113513514,0.117021277,0.142626814
01019,35960,0.393259175,0.717837838,0.601063830,0.414299888
01019,35903,0.003397060,0.001081080,0.000000000,0.003224610
01019,35901,0.002730970,0.004324320,0.000000000,0.002790520
01019,35984,0.011523300,0.000000000,0.021276600,0.010976100
01019,35973,0.109838140,0.028108100,0.021276600,0.104117574
01019,35959,0.202158130,0.081081081,0.207446809,0.195274712
01019,36275,0.000000000,0.001081080,0.000000000,0.000062012
01019,35967,0.011723200,0.005405410,0.000000000,0.011224100
01021,36790,0.005588260,0.000716846,0.000000000,0.005277470
01021,36792,0.010792600,0.004301080,0.000000000,0.010355000
01021,35171,0.068381537,0.037276000,0.057142900,0.066568047
01021,36091,0.087065950,0.040143400,0.040000000,0.084119623
01021,36793,0.005119020,0.002867380,0.011428600,0.005037580
01021,35085,0.190470096,0.101075269,0.097142857,0.184831281
01021,35045,0.326849245,0.684587814,0.594285714,0.348672637
01021,35115,0.055413400,0.005017920,0.051428600,0.052574800
01021,36051,0.011859100,0.002150540,0.000000000,0.011234600
01021,35040,0.022353000,0.005734770,0.034285700,0.021509700
01021,36758,0.010835300,0.005017920,0.000000000,0.010435000
01021,35046,0.132198618,0.063799283,0.040000000,0.127738685
01021,36750,0.064286324,0.041577100,0.051428600,0.062929794
01021,36006,0.008787600,0.005734770,0.022857100,0.008715800
01023,36904,0.305807981,0.665297741,0.848484848,0.329594478
01023,36915,0.053075200,0.014373700,0.060606100,0.050782700
01023,36912,0.143158172,0.014373700,0.030303000,0.134968569
01023,36919,0.144343474,0.080082136,0.000000000,0.139898928
01023,36910,0.005531410,0.004106780,0.000000000,0.005423390
01023,36913,0.003687610,0.006160160,0.000000000,0.003821030
01023,36921,0.085868563,0.032854200,0.000000000,0.082336990
01023,36558,0.016725900,0.010266900,0.000000000,0.016270200
01023,36922,0.046358500,0.012320300,0.000000000,0.044126700
01023,36908,0.151982089,0.123203285,0.060606100,0.149882904
01023,36916,0.043461100,0.036961000,0.000000000,0.042894100
01025,36545,0.364913545,0.430185634,0.397887324,0.370771928
01025,36524,0.049495700,0.020984700,0.014084500,0.046549400
01025,36540,0.036959700,0.004842620,0.000000000,0.033694700
01025,36436,0.021181600,0.005649720,0.003521130,0.019606600
01025,36446,0.000000000,0.000807103,0.000000000,0.000064922
01025,36482,0.046109500,0.010492300,0.003521130,0.042459300
01025,36451,0.184942363,0.125100888,0.225352113,0.180873856
01025,36784,0.281700288,0.401937046,0.348591549,0.292605337
01025,36751,0.005907780,0.000000000,0.000000000,0.005323640
01025,36727,0.008789600,0.000000000,0.007042250,0.008050400
01027,36255,0.073226308,0.034782600,0.000000000,0.070207988
01027,36266,0.323459347,0.365217391,0.215767635,0.322331804
01027,36251,0.358881409,0.414492754,0.771784232,0.370471634
01027,36256,0.003728640,0.002898550,0.000000000,0.003612930
01027,35160,0.047540100,0.002898550,0.004149380,0.045015100
01027,35082,0.000000000,0.002898550,0.000000000,0.000097647
01027,36276,0.015432400,0.014492800,0.000000000,0.015037600
01027,36258,0.076229933,0.124637681,0.008298800,0.076262084
01027,35072,0.098498187,0.034782600,0.000000000,0.094033786
01027,36268,0.003003630,0.000000000,0.000000000,0.002831750
01027,36267,0.000000000,0.002898550,0.000000000,0.000097647
01029,36207,0.003337700,0.000000000,0.000000000,0.003085060
01029,36272,0.025390400,0.005235600,0.000000000,0.023799000
01029,36261,0.000000000,0.001745200,0.000000000,0.000110181
01029,36273,0.183216116,0.183246073,0.114035088,0.182349052
01029,36262,0.100131124,0.076788831,0.052631600,0.098060820
01029,36264,0.549529145,0.675392670,0.745614035,0.559938299
01029,36269,0.091071641,0.022687600,0.043859600,0.086161305
01029,36268,0.000119204,0.000000000,0.000000000,0.000110181
01029,36258,0.047204700,0.034904000,0.043859600,0.046386100
01031,36453,0.027009400,0.017050700,0.003016590,0.025775900
01031,36009,0.002102740,0.000460829,0.001508300,0.001972650
01031,36351,0.079614255,0.059907800,0.000000000,0.076472909
01031,36330,0.623101186,0.741013825,0.802413273,0.635422146
01031,36477,0.006344490,0.004147470,0.001508300,0.006082330
01031,36360,0.000398796,0.000000000,0.000000000,0.000361652
01031,36322,0.001921470,0.000460829,0.000000000,0.001775380
01031,36318,0.007323350,0.000460829,0.000000000,0.006674120
01031,36034,0.005075590,0.000460829,0.007541480,0.004800110
01031,36010,0.015081800,0.005069120,0.000000000,0.014038700
01031,36079,0.008809800,0.002764980,0.000000000,0.008186500
01031,36311,0.004314250,0.000000000,0.000000000,0.003912410
01031,36467,0.006924550,0.000000000,0.000000000,0.006279590
01031,36323,0.163107711,0.149769585,0.182503771,0.162578906
01031,36316,0.018525900,0.008755800,0.000000000,0.017425000
01031,36346,0.030344800,0.009677400,0.001508300,0.028241700
01033,35660,0.172898660,0.227986955,0.201188455,0.178905244
01033,35661,0.306338469,0.361399348,0.310696095,0.311569772
01033,35654,0.017913100,0.014230700,0.005093380,0.017158700
01033,35674,0.342195916,0.324636822,0.448217317,0.343995834
01033,35672,0.002724540,0.000592944,0.000000000,0.002439490
01033,35646,0.074376801,0.036169600,0.023769100,0.069210317
01033,35616,0.076850808,0.034390800,0.008489000,0.070717869
01033,35582,0.000031317,0.000000000,0.000000000,0.000027410
01033,35653,0.006670420,0.000592944,0.002546690,0.005975390
01035,36768,0.000115540,0.000000000,0.000000000,0.000105641
01035,36456,0.033506600,0.008310200,0.011236000,0.031375400
01035,36471,0.006239170,0.000000000,0.000000000,0.005704630
01035,36473,0.014327000,0.001385040,0.011236000,0.013310800
01035,36330,0.000693241,0.000000000,0.000000000,0.000633847
01035,36502,0.006008090,0.001385040,0.000000000,0.005598990
